Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 97.0.4692.99,,,2022-01-31 12:02:38,2022-01-31 12:05:50,3m - 11.831s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_1-login,Chrome 97.0.4692.99,,,2022-01-31 12:02:39,2022-01-31 12:03:34,55.018s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 12:02:40,2022-01-31 12:03:10,29.587s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 12:03:10,2022-01-31 12:03:16,5.928s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-01-31 12:03:16,2022-01-31 12:03:17,1.317s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), ""nayeliangelicamartinezmoreta@gmail.com"")",Chrome 97.0.4692.99,,,2022-01-31 12:03:17,2022-01-31 12:03:19,2.128s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:19,2022-01-31 12:03:20,0.406s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:20,2022-01-31 12:03:23,3.080s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""), 0)",Chrome 97.0.4692.99,,,2022-01-31 12:03:23,2022-01-31 12:03:23,0.815s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""), ""aeHFOx8jV/A="")",Chrome 97.0.4692.99,,,2022-01-31 12:03:23,2022-01-31 12:03:25,1.265s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Olvidaste tu contrasea_password""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:25,2022-01-31 12:03:25,0.423s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Introduce tu contrasea_signInSubmit""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:25,2022-01-31 12:03:26,0.493s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _c3c363""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:26,2022-01-31 12:03:29,3.610s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-01-31 12:03:29,2022-01-31 12:03:32,3.088s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-31 12:03:32,2022-01-31 12:03:34,1.687s,PASSED
,,,,,,,
Test Cases/Ejercicio1.1/Test_case_2_login,Chrome 97.0.4692.99,,,2022-01-31 12:03:34,2022-01-31 12:04:00,25.917s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-31 12:03:35,2022-01-31 12:03:38,3.234s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?_encoding=UTF8&language=es&openid.assoc_handle=usflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fie%3DUTF8%26action%3Dsign-out%26language%3Des%26path%3D%252Fgp%252Fyourstore%252Fhome%26ref_%3Dnav_AccountFlyout_signout%26signIn%3D1%26useRedirectOnSuccess%3D1"")",Chrome 97.0.4692.99,,,2022-01-31 12:03:38,2022-01-31 12:03:49,10.964s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""), 0)",Chrome 97.0.4692.99,,,2022-01-31 12:03:49,2022-01-31 12:03:50,0.872s,PASSED
"setText(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""), ""nayeli.martinez@solvex.com"")",Chrome 97.0.4692.99,,,2022-01-31 12:03:50,2022-01-31 12:03:51,1.023s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordAndReplay1/Script1/Page_Amazon Iniciar sesin/input_Direccin de correo electrnico o nmero_cfb2c0""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:51,2022-01-31 12:03:52,0.708s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/input_Escriba su correo electrnico o su nme_4466f0""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:52,2022-01-31 12:03:55,3.006s,PASSED
"click(findTestObject(""Object Repository/RecordAndReplay2/Script2/Page_Amazon Iniciar sesin/div_Se produjo un problema                 _cb4f21""))",Chrome 97.0.4692.99,,,2022-01-31 12:03:55,2022-01-31 12:03:56,0.996s,PASSED
delay(3),Chrome 97.0.4692.99,,,2022-01-31 12:03:56,2022-01-31 12:03:59,3.006s,PASSED
